"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality_disc"
"1050",7,0.18,0.37,1.5,0.043,16,104,0.99216,3.18,0.5,10.8,5,"Baja"
"1051",6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2,5,"Baja"
"1052",6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,6,"Media"
"1053",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,"Media"
"1054",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,"Media"
"1055",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6,"Media"
"1056",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,"Media"
"1057",7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6,"Media"
"1058",6,0.17,0.3,7.3,0.039,39,104,0.99252,2.91,0.57,11,6,"Media"
"1059",7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,"Media"
"1060",7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,"Media"
"1061",5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,"Media"
"1062",5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6,"Media"
"1063",6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,"Media"
"1064",6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,"Media"
"1065",6.4,0.22,0.34,1.8,0.057,29,104,0.9959,3.81,0.57,10.3,6,"Media"
"1066",6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6,"Media"
"1067",5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,"Media"
"1068",6,0.19,0.26,1.4,0.039,30,104,0.98998,3.32,0.41,12.4,6,"Media"
"1069",5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,"Media"
"1070",5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6,"Media"
"1071",6,0.2,0.38,1.3,0.034,37,104,0.98865,3.11,0.52,12.7,6,"Media"
"1072",7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6,"Media"
"1073",7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6,"Media"
"1074",7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6,"Media"
"1075",5.8,0.61,0.01,8.4,0.041,31,104,0.9909,3.26,0.72,14.05,7,"Alta"
"1076",6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7,"Alta"
"1077",6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7,"Alta"
"1078",7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7,"Alta"
"1079",7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,7,"Alta"
"1080",7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,7,"Alta"
"1081",6.7,0.44,0.31,1.9,0.03,41,104,0.99,3.29,0.62,12.6,7,"Alta"
"1082",5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7,"Alta"
"1083",7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7,7,"Alta"
"1084",7,0.23,0.36,7.1,0.028,31,104,0.9922,3.35,0.47,12.1,8,"Alta"
"1085",6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,8,"Alta"
"1086",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,"Baja"
"1087",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5,"Baja"
"1088",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"Baja"
"1089",7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,"Baja"
"1090",5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,5,"Baja"
"1091",6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,"Baja"
"1092",6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5,"Baja"
"1093",7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5,"Baja"
"1094",6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,5,"Baja"
"1095",6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5,"Baja"
"1096",5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5,"Baja"
"1097",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,"Media"
"1098",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,"Media"
"1099",7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6,"Media"
"1100",8.1,0.24,0.32,10.5,0.03,34,105,0.99407,3.11,0.42,11.8,6,"Media"
"1101",5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6,"Media"
"1102",7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6,"Media"
"1103",6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6,"Media"
"1104",5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,"Media"
"1105",5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,"Media"
"1106",5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6,"Media"
"1107",6.7,0.28,0.42,3.5,0.035,43,105,0.99021,3.18,0.38,12.2,6,"Media"
"1108",6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,"Media"
"1109",6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,6,"Media"
"1110",7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,6,"Media"
"1111",6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6,"Media"
"1112",7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6,"Media"
"1113",7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7,"Alta"
"1114",7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5,7,"Alta"
"1115",6.8,0.32,0.32,8.7,0.029,31,105,0.99146,3,0.34,12.3,7,"Alta"
"1116",6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,"Alta"
"1117",7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7,"Alta"
"1118",6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7,"Alta"
"1119",5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7,"Alta"
"1120",6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,12.4,7,"Alta"
"1121",6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"Alta"
"1122",6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,"Alta"
"1123",7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7,"Alta"
"1124",7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8,"Alta"
"1125",6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8,"Alta"
"1126",6.8,0.24,0.4,1.8,0.047,34,105,0.99,3.13,0.49,12.8,8,"Alta"
"1127",7.6,0.26,0.36,1.6,0.032,6,106,0.993,3.15,0.4,10.4,4,"Baja"
"1128",7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4,"Baja"
"1129",8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4,"Baja"
"1130",6.8,0.2,0.25,6.2,0.052,22,106,0.9935,3.09,0.54,10.8,5,"Baja"
"1131",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,"Baja"
"1132",5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,"Baja"
"1133",6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5,5,"Baja"
"1134",8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,"Baja"
"1135",7.9,0.3,0.6,1.85,0.048,13,106,0.99331,3.24,0.49,11.85,5,"Baja"
"1136",6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,"Baja"
"1137",7.8,0.34,0.27,1.2,0.04,25,106,0.9932,3.01,0.55,10.4,5,"Baja"
"1138",5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6,"Media"
"1139",5.7,0.25,0.26,12.5,0.049,52.5,106,0.99691,3.08,0.45,9.4,6,"Media"
"1140",6.7,0.105,0.32,12.4,0.051,34,106,0.998,3.54,0.45,9.2,6,"Media"
"1141",6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6,"Media"
"1142",6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,6,"Media"
"1143",6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6,"Media"
"1144",6.2,0.3,0.28,1.6,0.036,28,106,0.988245,3.14,0.41,13.3,6,"Media"
"1145",7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6,"Media"
"1146",7.2,0.24,0.4,1.4,0.045,31,106,0.9914,2.88,0.38,10.8,6,"Media"
"1147",7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,6,"Media"
"1148",6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,"Media"
"1149",6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,6,"Media"
"1150",6,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6,"Media"
"1151",6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9,7,"Alta"
"1152",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,"Alta"
"1153",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,"Alta"
"1154",5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,"Alta"
"1155",4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,"Alta"
"1156",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7,"Alta"
"1157",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7,"Alta"
"1158",6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8,"Alta"
"1159",9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4,"Baja"
"1160",8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5,"Baja"
"1161",5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4,5,"Baja"
"1162",6.5,0.19,0.1,1.3,0.046,23,107,0.9937,3.29,0.45,10,5,"Baja"
"1163",6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,5,"Baja"
"1164",7,0.53,0.02,1,0.036,39,107,0.993,3.2,0.32,9,5,"Baja"
"1165",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,"Media"
"1166",7.1,0.26,0.32,14.45,0.074,29,107,0.998,2.96,0.42,9.2,6,"Media"
"1167",5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,"Media"
"1168",5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,"Media"
"1169",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,"Media"
"1170",8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,"Media"
"1171",6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,"Media"
"1172",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,"Media"
"1173",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,"Media"
"1174",5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,6,"Media"
"1175",7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,6,"Media"
"1176",6.3,0.17,0.42,2.8,0.028,45,107,0.9908,3.27,0.43,11.8,6,"Media"
"1177",7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,6,"Media"
"1178",7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6,"Media"
"1179",6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,"Media"
"1180",6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6,"Media"
"1181",6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6,"Media"
"1182",7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6,"Media"
"1183",7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6,"Media"
"1184",7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6,"Media"
"1185",9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6,"Media"
"1186",6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,"Alta"
"1187",6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7,"Alta"
"1188",5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7,"Alta"
"1189",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"Alta"
"1190",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"Alta"
"1191",6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,"Alta"
"1192",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,"Alta"
"1193",6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7,"Alta"
"1194",6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,"Alta"
"1195",6.5,0.37,0.3,2.2,0.033,39,107,0.98894,3.22,0.53,13.5,7,"Alta"
"1196",7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7,"Alta"
"1197",6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12,7,"Alta"
"1198",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,"Alta"
"1199",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7,"Alta"
"1200",6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,7,"Alta"
"1201",8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7,"Alta"
"1202",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8,"Alta"
"1203",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8,"Alta"
"1204",8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4,"Baja"
"1205",6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,"Baja"
"1206",5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,4,"Baja"
"1207",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,"Baja"
"1208",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,"Baja"
"1209",8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5,"Baja"
"1210",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,"Baja"
"1211",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,"Baja"
"1212",6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,5,"Baja"
"1213",6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5,"Baja"
"1214",6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6,"Media"
"1215",6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6,"Media"
"1216",8,0.33,0.35,10,0.035,22,108,0.99457,3.12,0.36,11.6,6,"Media"
"1217",6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6,"Media"
"1218",5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,6,"Media"
"1219",7,0.21,0.31,6,0.046,29,108,0.9939,3.26,0.5,10.8,6,"Media"
"1220",6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,"Media"
"1221",6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6,"Media"
"1222",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,"Media"
"1223",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6,"Media"
"1224",5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6,"Media"
"1225",6.8,0.19,0.34,1.9,0.04,41,108,0.99,3.25,0.45,12.9,6,"Media"
"1226",7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6,"Media"
"1227",5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6,"Media"
"1228",6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6,"Media"
"1229",6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,"Media"
"1230",6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,"Media"
"1231",8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7,"Alta"
"1232",5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7,"Alta"
"1233",6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7,"Alta"
"1234",7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,"Alta"
"1235",7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,"Alta"
"1236",5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,"Baja"
"1237",6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,"Baja"
"1238",7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,"Baja"
"1239",8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,"Baja"
"1240",6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5,"Baja"
"1241",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,"Baja"
"1242",8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,"Baja"
"1243",7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,"Media"
"1244",6.5,0.3,0.28,11.45,0.041,29,109,0.99418,2.98,0.3,10.9,6,"Media"
"1245",6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,6,"Media"
"1246",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,"Media"
"1247",6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6,"Media"
"1248",6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6,"Media"
"1249",6.9,0.21,0.62,6.3,0.042,7,109,0.99358,2.96,0.59,10.2,6,"Media"
"1250",7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,"Media"
"1251",7.1,0.42,0.2,2.8,0.038,28,109,0.98968,3.23,0.47,13.4,6,"Media"
"1252",6.3,0.24,0.35,2.3,0.039,43,109,0.99056,3.34,0.44,11.8,6,"Media"
"1253",7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6,"Media"
"1254",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"Media"
"1255",7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6,"Media"
"1256",7.5,0.26,0.31,1.6,0.032,36,109,0.99044,2.97,0.43,11.9,6,"Media"
"1257",6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6,"Media"
"1258",6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6,"Media"
"1259",5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6,"Media"
"1260",7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6,"Media"
"1261",7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,6,"Media"
"1262",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,"Media"
"1263",7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,"Media"
"1264",5.9,0.445,0.26,1.4,0.027,23,109,0.99148,3.3,0.36,10.5,6,"Media"
"1265",6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6,"Media"
"1266",7.2,0.23,0.82,1.3,0.149,70,109,0.99304,2.93,0.42,9.2,6,"Media"
"1267",9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6,"Media"
"1268",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,"Alta"
"1269",7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7,"Alta"
"1270",7.2,0.32,0.33,1.4,0.029,29,109,0.9902,3.15,0.51,12.8,7,"Alta"
"1271",6.8,0.53,0.35,3.8,0.034,26,109,0.9906,3.26,0.57,12.7,8,"Alta"
"1272",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8,"Alta"
"1273",6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4,"Baja"
"1274",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,"Baja"
"1275",9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,"Baja"
"1276",6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5,"Baja"
"1277",7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5,"Baja"
"1278",7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5,"Baja"
"1279",6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,"Media"
"1280",6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,"Media"
"1281",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,"Media"
"1282",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,"Media"
"1283",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,"Media"
"1284",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6,"Media"
"1285",7,0.15,0.29,16.4,0.058,45,110,0.9978,3.15,0.37,9.7,6,"Media"
"1286",6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,6,"Media"
"1287",7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6,"Media"
"1288",7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,"Media"
"1289",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,"Media"
"1290",5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,"Media"
"1291",5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,"Media"
"1292",7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6,"Media"
"1293",7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6,"Media"
"1294",5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6,"Media"
"1295",7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6,"Media"
"1296",5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,6,"Media"
"1297",6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,6,"Media"
"1298",5.7,0.22,0.33,1.9,0.036,37,110,0.98945,3.26,0.58,12.4,6,"Media"
"1299",7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,"Media"
"1300",7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,"Media"
"1301",7,0.24,0.26,1.7,0.041,31,110,0.99142,3.2,0.53,11,6,"Media"
"1302",6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12,6,"Media"
"1303",5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11,6,"Media"
"1304",6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6,"Media"
"1305",7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6,"Media"
"1306",6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6,"Media"
"1307",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,"Media"
"1308",6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,"Media"
"1309",7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6,"Media"
"1310",6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,7,"Alta"
"1311",7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,"Alta"
"1312",6.3,0.41,0.33,4.7,0.023,28,110,0.991,3.3,0.38,12.5,7,"Alta"
"1313",6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7,"Alta"
"1314",8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,"Alta"
"1315",8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11,7,"Alta"
"1316",5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,7,"Alta"
"1317",6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9,8,"Alta"
"1318",6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,"Alta"
